Стимул,Реакція,Кількість реакцій,Загальна кількість реакцій,Кількість найчастіших реакцій,Тип асоціації
молодий,я,7,,,слово контексту
молодість,радість,9,99,20,слово контексту
молодість,старість,7,,,слово контексту
молодість,юність,4,,,синонім
молодіти,душею,5,98,23,слово контексту
молодіти,на_очах,9,,,слово контексту
молодіти,старіти,9,,,антонім
молодо,виглядати,26,103,34,слово контексту
молодо,зелено,4,,,слово контексту
молодо,молодість,4,,,слово контексту
молодь,люди,4,101,19,синонім
молодь,дурна,3,,,слово контексту
молодь,золота,3,,,слово контексту
молодь,старість,3,,,антонім
молодь,студенти,3,,,синонім
молодь,юність,3,,,синонім
мрія,бажання,5,99,14,синонім
мрія,літак,5,,,слово контексту
мрія,мета,4,,,синонім
мріяти,про_щось,6,101,14,слово контексту
мріяти,думати,4,,,синонім
мріяти,про_майбутнє,4,,,слово контексту
мусити,зробити,12,101,29,слово контексту
мусити,обовʼзок,12,,,синонім
мусити,робити,5,,,слово контексту
наближати,кінець,8,101,19,слово контексту
наближати,до_себе,6,,,слово контексту
наближати,майбутнє,5,,,слово контексту
наближатися,до_мети,14,98,27,слово контексту
наближатися,мета,7,,,слово контексту
наближатися,до_когось,6,,,слово контексту
наблизити,до_себе,9,99,19,слово контексту
наблизити,час,4,,,слово контексту
наблизити,до_мети,3,,,слово контексту
наблизити,кінець,3,,,слово контексту
наблизитися,до_мети,11,104,25,слово контексту
наблизитися,підійти,8,,,слово контексту
наблизитися,до_когось,6,,,слово контексту
назва,імʼя,27,99,30,синонім
назва,твір,3,,,слово контексту
назвати,імʼя,32,104,43,слово контексту
назвати,слово,7,,,слово контексту
назвати,когось,4,,,слово контексту
назватися,імʼя,22,100,36,слово контексту
назватися,кимось,6,,,слово контексту
назватися,іменем,4,,,слово контексту
назватися,імʼям,4,,,слово контексту
називати,імʼя,29,100,42,слово контексту
називати,когось,7,,,слово контексту
називати,імена,6,,,слово контексту
називатися,імʼя,32,98,44,слово контексту
називатися,людиною,7,,,слово контексту
називатися,іменем,5,,,слово контексту
наказ,доручення,3,99,12,синонім
наказ,закон,3,,,синонім
наказ,президента,3,,,слово контексту
наказ,примус,3,,,синонім
наказати,комусь,9,100,15,слово контексту
наказати,зробити,6,,,слово контексту
наказувати,робити,7,100,19,слово контексту
наказувати,комусь,4,,,слово контексту
наказувати,кричати,4,,,синонім
наказувати,начальник,4,,,слово контексту
народ,люди,10,99,24,синонім
народ,український,8,,,слово контексту
народ,нація,6,,,синонім
народний,депутат,28,100,44,слово контексту
народний,дім,6,,,слово контексту
народний,артист,5,,,слово контексту
народний,танець,5,,,слово контексту
насмілитися,підійти,5,103,40,слово контексту
насмілитися,зробити,13,,,слово контексту
насмілитися,сказати,22,,,слово контексту
насправді,дійсно,10,102,20,синонім
насправді,правда,7,,,синонім
насправді,брехня,3,,,антонім
настрашитися,когось,6,102,20,слово контексту
настрашитися,страх,6,,,синонім
настрашитися,чогось,5,,,слово контексту
настрашитися,боятися,3,,,синонім
небесний,ангел,6,100,21,слово контексту
небесний,птах,6,,,слово контексту
небесний,Бог,5,,,слово контексту
небесний,хмари,4,,,слово контексту
небо,синє,17,98,43,слово контексту
небо,голубе,10,,,слово контексту
небо,земля,9,,,антонім
небо,хмари,7,,,слово контексту
невірно,відповісти,6,102,22,слово контексту
невірно,помилка,6,,,синонім
невірно,зрозуміти,5,,,слово контексту
невірно,сказати,5,,,слово контексту
недарма,дарма,6,102,18,антонім
недарма,кажуть,6,,,слово контексту
недарма,працювати,3,,,слово контексту
недарма,робити,3,,,слово контексту
незалежний,вільний,17,100,32,синонім
незалежний,держава,5,,,слово контексту
незалежний,Україна,10,,,слово контексту
незалежність,Україна,18,101,34,слово контексту
незалежність,воля,8,,,синонім
незалежність,свобода,8,,,синонім
незручний,одяг,9,100,30,слово контексту
незручний,крісло,7,,,слово контексту
незручний,поганий,7,,,слово контексту
незручний,час,7,,,слово контексту
незручність,погано,5,101,21,синонім
незручність,дискомфорт,4,,,синонім
незручність,крісло,2,,,слово контексту
незручність,парта,2,,,слово контексту
незручність,прокладка,2,,,слово контексту
незручність,сором,2,,,синонім
незручність,тролейбус,2,,,слово контексту
незручність,час,2,,,слово контексту
незручно,сидіти,17,100,38,слово контексту
незручно,почуватися,9,,,слово контексту
незручно,дискомфорт,3,,,синонім
незручно,зручно,3,,,антонім
незручно,почуватися,3,,,слово контексту
незручно,сказати,3,,,слово контексту
неймовірний,випадок,8,100,16,слово контексту
неймовірний,вчинок,4,,,слово контексту
неймовірний,день,4,,,слово контексту
ненавидіти,ворог,6,100,28,слово контексту
ненавидіти,зло,6,,,синонім
ненавидіти,когось,6,,,слово контексту
ненавидіти,любити,5,,,антонім
ненавидіти,не_любити,5,,,синонім
ненависть,злість,8,100,33,синонім
ненависть,зло,9,,,синонім
ненависть,ворог,6,,,слово контексту
ненависть,гнів,10,,,синонім
неприємний,запах,43,100,57,слово контексту
неприємний,смак,7,,,слово контексту
неприємний,чоловік,4,,,слово контексту
неприємний,поганий,3,,,синонім
неприємність,халепа,6,99,12,синонім
неприємність,біль,3,,,синонім
неприємність,зло,3,,,синонім
неприємно,погано,7,102,15,синонім
неприємно,пахнути,4,,,слово контексту
неприємно,приємно,4,,,антонім
ніс,обличчя,12,102,30,слово контексту
ніс,довгий,10,,,слово контексту
ніс,рот,8,,,слово контексту
ніч,день,15,99,50,антонім
ніч,темно,11,,,слово контексту
ніч,темна,7,,,слово контексту
ніч,сон,6,,,слово контексту
ніч,темрява,6,,,слово контексту
ніч,темнота,5,,,слово контексту
нічний,клуб,8,100,33,слово контексту
нічний,сторж,8,,,слово контексту
нічний,гість,7,,,слово контексту
нічний,птах,5,,,слово контексту
нічний,темний,5,,,синонім
новий,одяг,17,100,43,слово контексту
новий,канал,8,,,слово контексту
новий,автомобіль,6,,,слово контексту
новий,день,6,,,слово контексту
новий,старий,6,,,антонім
новина,приємна,7,99,17,слово контексту
новина,звістка,5,,,синонім
новина,хороша,5,,,слово контексту
новітній,сучасний,9,98,30,синонім
новітній,історія,7,,,слово контексту
новітній,світ,7,,,слово контексту
новітній,час,7,,,слово контексту
нога,рука,16,102,32,антонім
нога,довга,6,,,слово контексту
нога,взуття,5,,,слово контексту
нога,ліва,5,,,слово контексту
обіцянка,цяцянка,25,99,39,слово контексту
обіцянка,виконання,5,,,слово контексту
обіцянка,слово,5,,,слово контексту
обіцянка,обов’язок,4,,,синонім
обіцяти,виконувати,7,100,22,слово контексту
обіцяти,щось,6,,,слово контексту
обіцяти,брехати,5,,,слово контексту
обіцяти,обовʼязок,4,,,синонім
обличчя,лице,7,99,13,синонім
обличчя,людина,6,,,слово контексту
обман,зрада,13,102,33,синонім
обман,брехня,8,,,синонім
обман,правда,8,,,антонім
обман,неправда,4,,,синонім
обовʼязковий,екзамен,6,100,17,слово контексту
обовʼязковий,предмет,6,,,слово контексту
обовʼязковий,обовʼязок,5,,,слово контексту
обовʼязково,зробити,11,102,25,слово контексту
обовʼязково,зроблю,5,,,слово контексту
обовʼязково,треба,5,,,слово контексту
обовʼязково,потрібно,4,,,синонім
обовʼязок,зобовʼязання,4,99,16,синонім
обовʼязок,армія,3,,,слово контексту
обовʼязок,виконання,3,,,слово контексту
обовʼязок,необхідність,3,,,синонім
обовʼязок,робота,3,,,слово контексту
одруження,сімʼя,6,99,20,слово контексту
одруження,відповідальність,5,,,слово контексту
одруження,шлюб,5,,,синонім
одруження,обов’язок,4,,,слово контексту
одружити,когось,6,102,19,слово контексту
одружити,сімʼя,5,,,слово контексту
одружити,дітей,4,,,слово контексту
одружити,сина,4,,,слово контексту
одружитися,з_кимось,8,100,22,слово контексту
одружитися,сімʼя,6,,,слово контексту
одружитися,весілля,4,,,слово контексту
одружитися,з_коханою,4,,,слово контексту
одружувати,весілля,10,100,19,слово контексту
одружувати,когось,5,,,слово контексту
одружувати,сина,4,,,слово контексту
одружуватися,жінка,8,98,25,слово контексту
одружуватися,весілля,7,,,слово контексту
одружуватися,з_дівчиною,6,,,слово контексту
одружуватися,женитися,4,,,слово контексту
озлитися,на_когось,11,100,28,слово контексту
озлитися,гнів,7,,,синонім
озлитися,на_себе,4,,,слово контексту
озлитися,гнів,3,,,синонім
озлитися,собака,3,,,слово контексту
око,зір,15,99,27,слово контексту
око,око,6,,,синонім
око,ніс,6,,,слово контексту
оселитися,дім,8,102,20,слово контексту
оселитися,будинок,7,,,слово контексту
оселитися,вдома,5,,,слово контексту
оселя,дім,24,99,57,синонім
оселя,будинок,14,,,синонім
оселя,хата,11,,,синонім
оселя,квартира,6,,,синонім
оселя,сім’я,2,,,слово контексту
оселятися,дім,15,100,29,слово контексту
оселятися,хата,8,,,слово контексту
оселятися,новосілля,6,,,слово контексту
охоче,робити,6,102,18,слово контексту
охоче,допомогти,4,,,слово контексту
охоче,зробити,4,,,слово контексту
охоче,неохоче,4,,,антонім
охочий,бажання,6,100,20,слово контексту
охочий,бажаний,4,,,синонім
охочий,до_чогось,4,,,слово контексту
охочий,бажаючий,3,,,синонім
охочий,до_роботии,3,,,слово контексту
очі,карі,15,102,34,слово контексту
очі,чорні,8,,,слово контексту
очі,сині,6,,,слово контексту
очі,зір,5,,,синонім
очолити,військо,11,101,21,слово контексту
очолити,команду,5,,,слово контексту
очолити,фірму,5,,,слово контексту
очолювати,військо,7,100,23,слово контексту
очолювати,керувати,6,,,синонім
очолювати,державу,5,,,слово контексту
очолювати,лідер,5,,,слово контексту
очорнити,когось,8,101,16,слово контексту
очорнити,людину,4,,,слово контексту
очорнити,себе,4,,,слово контексту
памʼятати,памʼять,7,112,28,слово контексту
памʼятати,вірш,6,,,слово контексту
памʼятати,все,5,,,слово контексту
памʼятати,добро,5,,,слово контексту
памʼятати,знати,5,,,синонім
памʼятка,архітектури,7,99,17,слово контексту
памʼятка,архітектура,6,,,слово контексту
памʼятка,памʼятник,4,,,синонім
памʼятний,день,20,100,48,слово контексту
памʼятний,знак,17,,,слово контексту
памʼятний,памʼятник,6,,,слово контексту
памʼятний,незабутній,5,,,синонім
памʼять,мозок,9,101,19,слово контексту
памʼять,добра,5,,,слово контексту
памʼять,розум,5,,,синонім
переляк,страх,34,99,40,синонім
переляк,жах,6,,,синонім
переляканий,страх,12,111,34,синонім
переляканий,заєць,10,,,слово контексту
переляканий,боягуз,4,,,синонім
переляканий,вигляд,4,,,слово контексту
переляканий,наляканий,4,,,синонім
перелякати,когось,14,100,29,слово контексту
перелякати,страх,7,,,синонім
перелякати,людину,4,,,слово контексту
перелякати,настрашити,4,,,синонім
перелякатися,страх,14,100,26,синонім
перелякатися,когось,7,,,слово контексту
перелякатися,страшно,5,,,слово контексту
перемагати,ворога,8,112,19,слово контексту
перемагати,зло,6,,,слово контексту
перемагати,себе,5,,,слово контексту
перемога,радість,14,99,24,слово контексту
перемога,війна,6,,,слово контексту
перемога,ура,4,,,слово контексту
перемогти,ворога,12,202,38,слово контексту
перемогти,війна,10,,,слово контексту
перемогти,когось,8,,,слово контексту
перемогти,себе,8,,,слово контексту
переможець,сильний,4,101,7,слово контексту
переможець,перший,3,,,синонім
переставати,думати,7,100,19,слово контексту
переставати,вчитися,3,,,слово контексту
переставати,жити,3,,,слово контексту
переставати,зупинятися,3,,,синонім
переставати,стоп,3,,,синонім
перестати,робити,9,99,15,слово контексту
перестати,зупинитись,6,,,синонім
пес,собака,13,99,36,синонім
пес,кіт,9,,,антонім
пес,тварина,8,,,слово контексту
пес,друг,6,,,слово контексту
питання,відповідь,40,99,49,слово контексту
питання,цікавість,5,,,синонім
питання,на_засипку,4,,,слово контексту
питати,незнання,5,100,17,синонім
питати,відповідь,4,,,слово контексту
питати,когось,4,,,слово контексту
питати,цікавитись,4,,,синонім
півень,ранок,18,99,46,слово контексту
півень,курка,16,,,синонім
півень,когут,6,,,слово контексту
півень,птах,6,,,синонім
пізнавати,світ,24,100,37,слово контексту
пізнавати,себе,7,,,слово контексту
пізнавати,життя,6,,,слово контексту
пізнання,світ,5,99,17,слово контексту
пізнання,знання,4,,,слово контексту
пізнання,розвиток,4,,,слово контексту
пізнання,розум,4,,,слово контексту
пізнати,світ,27,211,85,слово контексту
пізнати,себе,41,,,слово контексту
пізнати,істину,10,,,слово контексту
пізнати,правду,7,,,слово контексту
пісня,музика,7,99,24,синонім
пісня,спів,5,,,синонім
пісня,весела,4,,,слово контексту
пісня,горілка,4,,,слово контексту
пісня,душа,4,,,слово контексту
побажати,щастя,31,99,50,слово контексту
побажати,добра,7,,,слово контексту
побажати,здоровʼя,6,,,слово контексту
побажати,успіху,6,,,слово контексту
побачитися,зустріч,9,100,24,синонім
побачитися,з_дівчиною,5,,,слово контексту
побачитися,з_кимось,5,,,слово контексту
побачитися,зустрітися,5,,,синонім
побачити,очі,4,99,23,слово контексту
побачити,світ,4,,,слово контексту
побачити,друга,3,,,слово контексту
побачити,зір,3,,,слово контексту
побачити,зустріти,3,,,синонім
побачити,когось,3,,,слово контексту
побачити,правду,3,,,слово контексту
побігати,довго,4,99,17,слово контексту
побігати,крос,4,,,слово контексту
побігати,на_стадіоні,3,,,слово контексту
побігати,навколо,3,,,слово контексту
побігати,футбол,3,,,слово контексту
побігти,швидко,7,99,17,слово контексту
побігти,вперед,6,,,слово контексту
побігти,додому,4,,,слово контексту
побілити,стіни,13,99,36,слово контексту
побілити,хату,12,,,слово контексту
побілити,стіну,11,,,слово контексту
побіліти,страх,8,99,23,синонім
побіліти,від_страху,7,,,слово контексту
побіліти,зі_страху,4,,,слово контексту
побіліти,почорніти,4,,,антонім
побоювання,страх,22,99,36,синонім
побоювання,невпевненість,4,,,синонім
побоювання,переляк,4,,,синонім
побоювання,обережність,3,,,синонім
побоювання,сумнів,3,,,синонім
побоюватися,страх,33,202,59,синонім
побоюватися,когось,10,,,слово контексту
побоюватися,боятися,4,,,синонім
побоюватися,війни,4,,,слово контексту
побоюватися,смерть,4,,,слово контексту
побоюватися,чогось,4,,,слово контексту
побоятися,страх,11,99,20,синонім
побоятися,зробити,6,,,слово контексту
побоятися,сказати,3,,,слово контексту
побратим,друг,33,99,54,синонім
побратим,брат,14,,,синонім
побратим,товариш,7,,,синонім
побувати,дім,12,100,28,слово контексту
побувати,відвідати,10,,,синонім
побувати,вдома,6,,,слово контексту
побути,на_самоті,11,99,25,слово контексту
побути,вдома,10,,,слово контексту
побути,кимось,4,,,слово контексту
повірити,в_себе,16,99,26,слово контексту
повірити,на_слово,4,,,слово контексту
повірити,комусь,6,,,слово контексту
повірʼя,приказка,12,99,26,синонім
повірʼя,народне,6,,,слово контексту
повірʼя,забобон,8,,,слово контексту
поганий,настрій,6,100,27,слово контексту
поганий,добрий,5,,,слово контексту
поганий,викладач,4,,,слово контексту
поганий,злий,4,,,синонім
поганий,сон,4,,,слово контексту
поганий,чоловік,4,,,слово контексту
погано,добре,12,99,25,антонім
погано,зле,5,,,синонім
погано,бачити,4,,,слово контексту
погано,зробити,4,,,слово контексту
погляд,думка,7,99,25,слово контексту
погляд,зір,7,,,синонім
погляд,очі,7,,,слово контексту
погляд,бачення,4,,,синонім
погостювати,в_друзів,7,99,29,слово контексту
погостювати,друзі,4,,,слово контексту
погостювати,в_друга,3,,,слово контексту
погостювати,в_когось,3,,,слово контексту
погостювати,відвідати,3,,,слово контексту
погостювати,гість,3,,,синонім
погостювати,гості,3,,,синонім
погостювати,добре,3,,,слово контексту
подивитися,телевізор,18,99,31,слово контексту
подивитися,кіно,5,,,слово контексту
подивитися,в_очі,4,,,слово контексту
подивитися,глянути,4,,,синонім
подіяти,зробити,4,99,26,слово контексту
подіяти,на_нерви,4,,,слово контексту
подіяти,вплив,3,,,синонім
подіяти,вплинути,3,,,синонім
подіяти,на_когось,3,,,слово контексту
подіяти,на_себе,3,,,слово контексту
подіяти,отрута,3,,,слово контексту
подіяти,силою,3,,,слово контексту
подіятися,відбутися,4,100,7,синонім
подіятися,зробити,3,,,синонім
подобріти,до_когось,5,100,11,слово контексту
подобріти,сміх,3,,,слово контексту
подобріти,усмішка,3,,,слово контексту
по-доброму,по-злому,8,100,14,антонім
по-доброму,відноситись,3,,,слово контексту
по-доброму,жити,3,,,слово контексту
подружжя,сімʼя,16,101,28,синонім
подружжя,пара,8,,,синонім
подружжя,шлюб,4,,,синонім
подумати,добре,7,100,15,слово контексту
подумати,задача,4,,,слово контексту
подумати,розум,4,,,синонім
пожаліти,когось,17,100,26,синонім
пожаліти,допомогти,3,,,слово контексту
пожаліти,людину,3,,,слово контексту
пожаліти,себе,3,,,слово контексту
пожалкувати,вчинок,5,100,17,слово контексту
пожалкувати,когось,5,,,слово контексту
пожалкувати,про_щось,4,,,слово контексту
пожалкувати,за_чимось,3,,,слово контексту
пожартувати,анекдот,9,100,29,слово контексту
пожартувати,сміх,8,,,слово контексту
пожартувати,з_кимось,6,,,слово контексту
пожартувати,над_кимось,6,,,слово контексту
пожовкнути,листя,22,100,42,слово контексту
пожовкнути,осінь,7,,,слово контексту
пожовкнути,жовтуха,5,,,слово контексту
пожовкнути,колір,4,,,слово контексту
пожовкнути,пожовтіти,4,,,синонім
пожовтіти,листя,12,100,30,слово контексту
пожовтіти,хвороба,10,,,слово контексту
пожовтіти,осінь,8,,,слово контексту
позаздрити,комусь,14,103,29,слово контексту
позаздрити,кому,6,,,слово контексту
позаздрити,заздрість,5,,,синонім
позаздрити,гроші,4,,,слово контексту
позеленіти,весна,8,99,29,слово контексту
позеленіти,трава,8,,,слово контексту
позеленіти,злість,3,,,слово контексту
позеленіти,листя,3,,,слово контексту
позеленіти,погано,3,,,синонім
позеленіти,від_злості,4,,,слово контексту
поклик,душі,7,101,22,слово контексту
поклик,природи,7,,,слово контексту
поклик,душа,4,,,слово контексту
поклик,сумління,4,,,слово контексту
покликання,професія,6,101,12,слово контексту
покликання,робота,3,,,слово контексту
покликання,талант,3,,,синонім
покликати,на_допомогу,15,103,41,слово контексту
покликати,когось,12,,,слово контексту
покликати,допомога,5,,,слово контексту
покликати,гукнути,3,,,синонім
покликати,друга,3,,,слово контексту
покликати,кого,3,,,слово контексту
покохати,дівчину,16,103,38,слово контексту
покохати,дівчина,5,,,слово контексту
покохати,когось,5,,,слово контексту
покохати,людину,4,,,слово контексту
покохати,жінку,4,,,слово контексту
покохати,любов,4,,,синонім
полюбити,дівчину,16,100,42,слово контексту
полюбити,когось,13,,,слово контексту
полюбити,кохання,5,,,синонім
полюбити,дівчина,4,,,слово контексту
полюбити,кохати,4,,,синонім
помагати,людям,8,113,31,слово контексту
помагати,батькам,7,,,слово контексту
помагати,комусь,6,,,слово контексту
помагати,всім,5,,,слово контексту
помагати,допомога,5,,,синонім
помаранчевий,Ющенко,19,111,41,слово контексту
помаранчевий,апельсин,8,,,слово контексту
помаранчевий,перемога,7,,,слово контексту
помаранчевий,свобода,7,,,слово контексту
помислити,подумати,8,100,18,синонім
помислити,думка,6,,,слово контексту
помислити,думати,4,,,синонім
поміркувати,задача,5,100,18,слово контексту
поміркувати,подумати,5,,,синонім
поміркувати,думати,4,,,синонім
поміркувати,обдумати,4,,,синонім
поміч,допомога,18,99,31,синонім
поміч,друг,5,,,слово контексту
поміч,друзі,4,,,слово контексту
поміч,рука,4,,,слово контексту