Стимул,Реакція,Кількість реакцій,Загальна кількість реакцій,Кількість найчастіших реакцій
багатий,чоловік,17,112,34
багатий,гроші,11,,
багатий,хлопець,6,,
багатіти,гроші,31,100,38
багатіти,швидко,7,,
багато,грошей,16,102,38
багато,мало,14,,
багато,щастя,8,,
багатство,гроші,46,102,62
багатство,бідність,8,,
багатство,велике,4,,
багатство,влада,4,,
бажаний,гість,22,101,46
бажаний,результат,7,,
бажаний,жаданий,5,,
бажаний,коханий,4,,
бажаний,подарунок,4,,
бажаний,хлопець,4,,
бажання,мрія,9,101,25
бажання,жити,7,,
бажання,відчуття,3,,
бажання,прагнення,3,,
бажання,пристрасть,3,,
бажано,добре,6,102,28
бажано,вчитися,5,,
бажано,зробити,5,,
бажано,небажано,3,,
бажано,прийти,3,,
бажано,треба,3,,
бажано,щастя,3,,
бажати,щастя,26,100,47
бажати,хотіти,13,,
бажати,добра,8,,
байдуже,мені,6,102,18
байдуже,все_рівно,4,,
байдуже,слухати,4,,
байдуже,все_одно,4,,
байдужий,чоловік,8,100,26
байдужий,людина,6,,
байдужий,до_всього,4,,
байдужий,до_людей,4,,
байдужий,холодний,4,,
байдужість,лінь,4,101,19
байдужість,апатія,3,,
байдужість,все_одно,3,,
байдужість,до_всього,3,,
байдужість,людина,3,,
байдужість,холодність,3,,
байдужо,ставитись,12,98,34
байдужо,поставитися,7,,
байдужо,відповісти,4,,
байдужо,все_одно,4,,
байдужо,дивитися,4,,
байдужо,ніяк,3,,
батько,мати,19,101,31
батько,рідний,6,,
батько,тато,6,,
бачення,світу,14,101,40
бачення,світогляд,10,,
бачення,світ,9,,
бачення,погляд,7,,
бачити,очі,20,100,43
бачити,світ,9,,
бачити,око,5,,
бачити,світло,5,,
бачити,зір,4,,
бачитися,часто,12,100,42
бачитися,зустріч,11,,
бачитися,з_друзями,8,,
бачитися,друзі,6,,
бачитися,зустрічатися,5,,
безталанний,чоловік,7,100,28
безталанний,доля,6,,
безталанний,людина,6,,
безталанний,нещасний,5,,
безталанний,бездарний,4,,
бентежити,хвилювати,8,100,31
бентежити,душу,6,,
бентежити,людей,5,,
бентежити,душа,4,,
бентежити,тривожити,4,,
бентежити,хвилювання,4,,
бентежитися,хвилюватися,9,98,17
бентежитися,переживати,8,,
біг,швидкий,18,101,38
біг,швидкість,11,,
біг,спорт,9,,
бігати,швидко,14,100,32
бігати,крос,7,,
бігати,ноги,6,,
бігати,спорт,5,,
бігом,швидко,20,102,33
бігом,йти,7,,
бігом,додому,6,,
бігти,швидко,28,112,34
бігти,крос,6,,
бідний,селянин,21,112,40
бідний,студент,8,,
бідний,бомж,6,,
бідний,чоловік,5,,
бідність,злидні,8,101,17
бідність,погано,5,,
бідність,багатство,4,,
бідніти,гроші,6,100,19
бідніти,духовно,4,,
бідніти,багатіти,3,,
бідніти,втрачати,3,,
бідніти,злидні,3,,
бідно,жити,37,102,50
бідно,багато,7,,
бідно,гроші,3,,
бідно,убого,3,,
білий,сніг,34,112,52
білий,день,11,,
білий,колір,7,,
білити,хату,13,100,42
білити,стіни,12,,
білити,стіна,10,,
білити,стіну,7,,
біліти,сніг,17,113,33
біліти,від_страху,16,,
біль,страждання,7,101,36
біль,хвороба,5,,
біль,гострий,4,,
біль,жаль,4,,
біль,рана,4,,
біль,серце,4,,
біль,сильний,4,,
біль,страх,4,,
блакитний,небо,44,100,68
блакитний,колір,16,,
блакитний,голубий,8,,
блакить,небо,61,101,76
блакить,неба,8,,
блакить,небесна,5,,
блакить,синя,2,,
близький,друг,41,100,71
близький,рідний,11,,
близький,родич,10,,
близький,далекий,9,,
близькість,любов,10,101,36
близькість,дружба,5,,
близькість,людина,5,,
близькість,друг,4,,
близькість,друзі,3,,
близькість,інтим,3,,
близькість,кохання,3,,
близькість,стосунки,3,,
близько,далеко,16,102,22
близько,стояти,6,,
боліти,зуб,26,100,50
боліти,голова,19,,
боліти,хворіти,5,,
боляче,рана,12,102,26
боляче,голова,5,,
боляче,серце,5,,
боляче,вдарити,4,,
боягуз,страх,15,101,25
боягуз,заєць,10,,
боягузливий,заєць,23,100,42
боягузливий,страх,11,,
боягузливий,лякливий,4,,
боягузливий,хлопець,4,,
боязко,страх,8,102,21
боязко,страшно,8,,
боязко,дивитись,5,,
боятися,страх,11,113,27
боятися,темряви,9,,
боятися,темнота,7,,
брак,грошей,10,102,30
брак,часу,9,,
брак,коштів,7,,
брак,слів,4,,
бракувати,грошей,9,100,34
бракувати,гроші,8,,
бракувати,не_вистачати,11,,
бракувати,нестача,3,,
бракувати,час,3,,
брат,сестра,21,101,34
брат,рідний,8,,
брат,друг,5,,
брати,участь,10,100,18
брати,давати,4,,
брати,позичати,4,,
братися,за_роботу,15,113,41
братися,до_роботи,13,,
братися,робота,13,,
брехати,в_очі,7,100,28
брехати,неправда,6,,
брехати,людям,5,,
брехати,обман,5,,
брехати,обманювати,5,,
брехня,неправда,11,101,26
брехня,правда,6,,
брехня,обман,5,,
брехня,погано,4,,
брехун,неправда,9,112,17
брехун,неповага,4,,
брехун,обман,4,,
бувати,відвідувати,9,100,17
бувати,вдома,8,,
бути,жити,16,113,34
бути,добрим,10,,
бути,існувати,8,,
буття,життя,30,101,42
буття,існування,6,,
буття,світ,6,,
вага,кілограм,12,101,25
,маса,9,,
,велика,4,,
вагомий,внесок,36,100,66
,важливий,14,,
,вчинок,8,,
,доказ,8,,
важити,багато,18,113,33
,вага,15,,
важкий,тягар,19,113,48
,камінь,14,,
,день,9,,
,метал,6,,
важко,жити,11,102,24
,легко,7,,
,тяжко,6,,
важливий,вчинок,8,100,31
,день,7,,
,крок,6,,
,вагомий,5,,
,доказ,5,,
важливість,навчання,7,101,18
,необхідність,7,,
,відповідальність,4,,
важливо,знати,21,102,31
,потрібно,6,,
,дуже,4,,
вартий,уваги,47,100,62
,увага,12,,
,цінний,3,,
вартість,ціна,26,102,52
,гроші,18,,
,життя,4,,
,цінність,4,,
варто,жити,6,102,14
,зробити,4,,
,піти,4,,
вартувати,уваги,10,113,36
,гроші,9,,
,ціна,8,,
,когось,5,,
,кращого,4,,
вболівати,за_команду,19,100,60
,футбол,16,,
,команда,10,,
,переживати,9,,
,за_когось,3,,
,підтримувати,3,,
вважати,думати,18,99,37
,правильно,7,,
,думка,6,,
,за_потрібне,6,,
вважатися,добрим,9,112,20
,мудрим,6,,
,розумним,5,,
ввечері,темно,9,102,30
,телевізор,6,,
,відпочинок,5,,
,гуляти,5,,
,спати,5,,
вгадати,відповідь,15,102,40
,загадка,9,,
,слово,9,,
,думку,7,,
вдень,сонце,16,102,42
,вночі,13,,
,світло,13,,
вдома,добре,11,99,30
,тепло,8,,
,сидіти,6,,
,затишок,5,,
верба,дерево,42,101,60
,плакуча,10,,
,зелена,5,,
,символ,3,,
веселий,настрій,14,112,34
,день,5,,
,друг,5,,
,клоун,5,,
,сміх,5,,
веселити,людей,12,99,34
,компанію,8,,
,друзів,7,,
,радіти,7,,
веселитися,вечірка,7,112,19
,з_друзями,6,,
,радіти,6,,
весело,сумно,7,102,20
,жити,5,,
,з_друзями,4,,
,сміятися,4,,
веселощі,радість,23,101,41
,сміх,18,,
вечір,зорі,10,101,25
,темно,5,,
,темнота,5,,
,тихий,5,,
вечірній,час,8,99,32
,Львів,7,,
,одяг,7,,
,дзвін,5,,
,зоря,5,,
вечоріти,темніти,9,99,24
,надворі,8,,
,сутінки,7,,
взнати,правду,8,102,24
,нове,4,,
,новина,8,,
,таємницю,4,,
взяти,річ,9,102,21
,гроші,4,,
,книжку,4,,
,рука,4,,
взятися,за_справу,15,98,33
,за_розум,11,,
,за_руки,7,,
вибирати,одяг,13,99,27
,вибір,7,,
,друзів,7,,
вибір,можливість,7,101,21
,важливий,5,,
,професія,5,,
,правильний,4,,
вибори,президента,13,112,29
,президент,10,,
,депутатів,6,,
вибрати,одяг,7,102,15
,найкраще,4,,
,подарунок,4,,
вигук,крик,18,112,34
,ой,11,,
,частина_мови,5,,
вигукнути,слово,21,102,48
,голосно,11,,
,крик,8,,
,ура,8,,
вигукувати,слова,13,99,35
,кричати,12,,
,викрикувати,5,,
,голосно,5,,
вимагати,гроші,11,99,16
,правди,5,,
вимога,потреба,8,111,22
,наказ,7,,
,обов'язок,7,,
вимогливий,до_себе,28,112,63
,викладач,24,,
,вчитель,11,,
вимогливість,до_себе,14,101,26
,вчитель,6,,
,строгість,6,,
витриманий,вино,16,99,27
,чоловік,6,,
,характер,5,,
витримано,поводитись,9,102,13
,вино,4,,
витримати,біль,13,98,34
,випробування,11,,
,навантаження,5,,
,паузу,5,,
витримка,терпіння,9,100,23
,сила,8,,
,сила_волі,6,,
витримувати,біль,24,112,41
,навантаження,10,,
,випробування,7,,
вівця,тварина,11,101,36
,баран,11,,
,кучерява,7,,
,шерсть,7,,
віддалитися,далеко,7,102,20
,відстань,5,,
,від_людей,4,,
,від_людини,4,,
віддалятися,відходити,7,99,20
,дорога,7,,
,від_дому,6,,
відмова,ні,9,101,20
,образа,4,,
,розчарування,4,,
,злість,3,,
відмовити,комусь,5,102,12
,людині,4,,
,в_проханні,3,,
відмовитися,від_їжі,7,98,18
,від_чогось,7,,
,від_щастя,4,,
відмовляти,ні,7,99,19
,собі,5,,
,допомога,4,,
,друзям,3,,
відмовлятися,ні,5,99,14
,від_щастя,3,,
,відмова,3,,
,не_хотіти,3,,
відповідати,на_питання,23,99,38
,питання,8,,
,за_вчинки,7,,
відповідний,одяг,12,99,21
,момент,5,,
,вчинок,4,,
відповідь,запитання,20,110,35
,питання,11,,
,правильна,4,,
відповісти,на_питання,23,102,46
,питання,18,,
,правильно,5,,
відчувати,біль,26,99,42
,почуття,6,,
,тепло,6,,
,радість,4,,
відчуватися,погано,11,112,24
,добре,7,,
,почуття,6,,
відчути,біль,31,102,42
,почуття,6,,
,радість,5,,
відчутний,біль,17,112,39
,вплив,11,,
,удар,11,,
відчуття,почуття,8,101,20
,любов,7,,
,біль,5,,
віл,тварина,20,101,34
,великий,7,,
,робота,7,,
вільний,птах,16,99,38
,час,9,,
,воля,7,,
,день,6,,
вільно,почуватися,9,102,28
,володіти,7,,
,говорити,6,,
,жити,6,,
віра,надія,10,101,33
,в_Бога,9,,
,Бог,7,,
,релігія,7,,
вірити,Бог,7,99,25
,в_Бога,7,,
,довіряти,6,,
,людям,5,,
віритися,комусь,7,112,15
,довіряти,5,,
,Бог,3,,
вірний,друг,62,112,84
,собака,11,,
,товариш,11,,
вірність,любов,11,110,26
,зрада,8,,
,лебедина,7,,
вірно,служити,8,102,18
,відповісти,5,,
,друг,5,,
вітер,холод,13,101,29
,сильний,11,,
,дощ,5,,
влада,гроші,8,101,16
,уряд,5,,
,вища,3,,
владний,господар,6,112,17
,президент,6,,
,над_собою,5,,
владно,поводитися,8,102,12
,гворити,4,,
вночі,спати,19,102,45
,темно,10,,
,сон,9,,
,місяць,7,,
вовк,ліс,11,101,40
,злий,10,,
,сірий,10,,
,тварина,9,,
вогонь,тепло,16,114,34
,вода,9,,
,яскравий,9,,
вода,чиста,13,114,40
,прозора,9,,
,річка,9,,
,тече,9,,
володіння,майно,9,101,21
,маєток,7,,
,багатство,5,,
володіти,собою,12,99,30
,мати,7,,
,багатство,6,,
,мовою,5,,
воля,свобода,15,101,20
,простір,5,,
ворог,недруг,14,101,23
,друг,9,,
ворогувати,із_сусідом,9,99,21
,війна,6,,
,ворог,6,,
вороже,ставитися,16,102,30
,ставлення,14,,
ворожий,табір,34,116,65
,погляд,15,,
,ворог,8,,
,стан,8,,
вражати,дивувати,7,116,21
,розум,6,,
,когось,4,,
,чимось,4,,
вражаючий,вчинок,7,99,24
,погляд,7,,
,ефект,5,,
,результат,5,,
вражений,від_побаченого,6,120,20
,здивований,6,,
,диво,4,,
,подією,4,,
враження,захоплення,7,100,17
,думка,6,,
,від_побаченого,4,,
вразити,в_серце,6,102,22
,серце,6,,
,здивувати,5,,
,когось,5,,
вразливий,характер,17,99,34
,чоловік,7,,
,хлопець,6,,
,людина,4,,
втрата,біль,15,101,27
,смерть,7,,
,горе,5,,
втратити,друга,10,102,22
,людину,9,,
,близьких,3,,
втрачати,надію,8,99,28
,час,7,,
,гроші,5,,
,губити,4,,
,свідомість,4,,
вчасний,прихід,8,99,23
,пунктуальний,8,,
,дзвінок,7,,
вчинити,злочин,26,102,41
,зло,8,,
,зробити,7,,
вчинок,дія,10,99,27
,хороший,10,,
,добрий,7,,
вчора,сьогодні,8,102,21
,минуле,7,,
,завтра,6,,
вчорашній,день,53,99,68
,хліб,8,,
,вечір,7,,
гадати,думати,23,99,58
,карти,22,,
,на_картах,13,,
гадка,думка,40,99,42
,мудра,2,,
газета,"""Експрес""",8,99,24
,журнал,8,,
,інформація,8,,
газетний,папір,20,99,49
,кіоск,19,,
,стаття,10,,
газетяр,газета,11,110,23
,журналіст,7,,
,пошта,5,,
гість,бажаний,10,99,24
,радість,8,,
,друг,6,,
глядіти,дитину,8,99,21
,дивитись,7,,
,дітей,6,,
глянути,в_очі,10,102,35
,вікно,10,,
,у_вікно,9,,
,очі,6,,
гнів,злість,14,99,29
,ненависть,7,,
,лютий,4,,
,сильний,4,,
гніватися,образа,6,99,18
,гнів,4,,
,злість,4,,
,на_друга,4,,
гнівний,погляд,19,116,35
,злий,8,,
,чоловік,8,,
гнівно,дивитись,7,98,22
,сказати,7,,
,глянути,4,,
,говорити,4,,
говір,діалект,13,98,32
,мова,13,,
,розмова,6,,
говірка,діалект,15,110,44
,мова,12,,
,прислів'я,9,,
,село,8,,
,села,7,,
говорити,балакати,8,99,22
,неправду,7,,
,правду,7,,
голова,розум,10,99,29
,розумна,7,,
,волосся,6,,
,мудра,6,,
головне,життя,7,101,18
,здоров'я,6,,
,в_житті,5,,
головний,біль,21,99,41
,лікар,10,,
,убір,10,,
головувати,керувати,8,99,19
,на_зборах,6,,
,керівник,5,,
голос,дзвінкий,10,99,25
,звук,9,,
,спів,6,,
голосний,звук,34,99,51
,спів,10,,
,голос,7,,
голосно,кричати,20,102,44
,говорити,15,,
,сміятися,9,,
голубий,небо,32,99,64
,колір,27,,
,голуб,5,,
горобець,птах,17,99,55
,пташка,14,,
,маленький,13,,
,сірий,11,,
господар,добрий,8,99,22
,дому,7,,
,хазяїн,7,,
господарка,велика,4,99,12
,добра,4,,
,жінка,4,,
господарство,село,12,113,31
,сільське,12,,
,велике,7,,
господарювати,вдома,13,99,26
,дім,7,,
,подвір'я,6,,
господиня,жінка,11,111,25
,добра,7,,
,кухня,7,,
гостювати,у_друзів,8,99,22
,друзі,6,,
,гість,4,,
,довго,4,,
гріх,зло,6,99,10
,злочин,4,,
грішити,гріх,6,98,15
,церква,5,,
,багато,4,,
грішний,чоловік,29,117,45
,світ,9,,
,людина,7,,
грішно,думати,10,102,21
,гріх,6,,
,робити,5,,
громада,люди,14,99,32
,народ,7,,
,спільнота,6,,
,село,5,,
громадський,транспорт,27,98,45
,діяч,10,,
,обов'язок,8,,
гроші,влада,16,99,31
,багатство,15,,
гукати,кликати,15,98,42
,кричати,10,,
,ліс,9,,
,когось,8,,
гукнути,когось,9,102,23
,голосно,8,,
,крикнути,6,,
гучний,голос,19,116,46
,звук,17,,
,музика,10,,
гучно,голосно,11,98,26
,музика,8,,
,кричати,7,,
далекий,родич,15,98,38
,близький,9,,
,край,7,,
,світ,7,,
далеко,близько,13,102,26
,бачити,8,,
,від_дому,5,,
далечінь,горизонт,12,99,22
,дорога,6,,
,недосяжність,4,,
дарма,що,6,102,15
,жаль,3,,
,марно,3,,
,навіщо,3,,
дармовий,хліб,20,98,36
,вчинок,6,,
,обід,6,,
,день,4,,
дармувати,час,26,116,36
,лінь,6,,
,бити_байдики,4,,
денний,навчання,10,98,28
,заробіток,8,,
,стаціонар,5,,
,час,5,,
день,ніч,23,99,38
,світло,10,,
,сонце,5,,
дерево,дуб,14,99,39
,зелене,12,,
,береза,8,,
,липа,5,,
держава,Україна,11,113,27
,країна,11,,
,незалежна,5,,
державний,діяч,11,98,33
,устрій,9,,
,прапор,7,,
,герб,6,,
дивитися,телевізор,13,98,36
,в_очі,10,,
,очі,8,,
,бачити,5,,
дивний,сон,25,112,39
,чоловік,8,,
,погляд,6,,
дивно,поводитися,7,102,19
,бачити,4,,
,мені,4,,
,цікаво,4,,
диво,чудо,19,99,29
,здивування,6,,
,не_буває,4,,
дивуватися,комусь,8,112,18
,чудо,4,,
,людям,3,,
,собі,3,,
дитина,маленька,13,99,31
,радість,11,,
,мала,7,,
дитинство,безтурботність,9,112,24
,щасливе,9,,
,радість,6,,
дитячий,сміх,24,98,47
,садок,14,,
,голос,9,,
дівчина,краса,14,99,43
,хлопець,14,,
,красива,8,,
,гарна,7,,
дім,рідний,10,99,27
,сім'я,10,,
,затишок,7,,
дія,вчинок,14,99,34
,робота,10,,
,рух,5,,
,театр,5,,
діяти,робити,12,98,27
,впевнено,5,,
,робота,5,,
,швидко,5,,
діятися,подія,6,112,10
,відбуватися,4,,
добре,погано,11,102,24
,жити,5,,
,знати,4,,
,поводитися,4,,
добрий,друг,12,98,24
,дідусь,6,,
,злий,6,,
добро,зло,30,99,34
,щастя,4,,
дозвіл,заборона,4,99,12
,радість,4,,
,робота,4,,
дозволити,собі,8,102,21
,взяти,6,,
,зробити,4,,
,гуляти,3,,
дозволяти,все,8,98,19
,дозвіл,5,,
,мама,3,,
,собі,3,,
доля,життя,13,99,26
,фатум,7,,
,щастя,6,,
домівка,рідна,11,99,29
,хата,7,,
,сім'я,6,,
,затишок,5,,
допомагати,батькам,7,98,17
,друзям,5,,
,іншим,5,,
допомога,швидка,8,101,16
,друга,4,,
,підтримка,4,,
допомогти,в_біді,5,102,14
,другові,5,,
,друг,4,,
дочка,син,15,99,28
,мама,7,,
,мати,6,,
дощ,вода,11,99,24
,сніг,7,,
,сильний,6,,
друг,вірний,14,99,25
,вірність,6,,
,товариш,5,,
дружина,вірна,13,110,45
,чоловік,12,,
,вірність,10,,
,жінка,10,,
дружити,друг,6,98,14
,з_хлопцем,4,,
,подруга,4,,
дуб,дерево,23,98,43
,сила,9,,
,міць,6,,
,міцний,5,,
дума,Шевченко,7,99,23
,пісня,6,,
,важка,5,,
,кобзар,5,,
думати,вважати,5,98,17
,мислити,4,,
,мозок,4,,
,розум,4,,
думка,швидка,7,109,20
,мислення,5,,
,власна,4,,
,мрія,4,,
дурний,мудрий,11,114,29
,нерозумний,10,,
,хлопець,8,,
душа,чиста,21,114,41
,тіло,12,,
,добра,8,,
жаба,зелена,34,100,38
,болото,4,,
жаліти,себе,9,98,22
,шкодувати,5,,
,близьких,4,,
,за_минулим,4,,
жалкувати,минуле,9,116,24
,за_минулим,8,,
,за_чимось,7,,
жаль,сльози,10,99,23
,сум,8,,
,смуток,5,,
жарт,сміх,40,99,51
,аекдот,11,,
жартома,сказати,14,102,33
,сміх,11,,
,образити,8,,
жартувати,сміх,19,121,40
,анекдот,11,,
,сміятися,10,,
жах,страх,24,99,34
,фільм,6,,
,страшно,4,,
жахатися,страх,18,110,36
,боятися,11,,
,лякатися,7,,
жахливий,день,13,120,34
,вигляд,11,,
,сон,10,,
жахливо,виглядати,10,102,20
,страх,6,,
,жах,4,,
жахнутися,страх,9,98,19
,від_побаченого,4,,
,жах,3,,
,привид,3,,
живий,звук,11,116,33
,труп,11,,
,мертвий,7,,
,людина,4,,
жити,існувати,10,110,21
